,superficie,lat,lng,time_ctrl,personal,medios,TMEDIA,RACHA,SOL,Año,PRES_RANGE,target
204,2.5,42.780977,-8.802512,2.25,10,1,19.0,15.3,10.6,2001,3.39999999999998,3
205,1.08,42.940961,-9.28126,3.15,10,1,19.0,15.3,10.6,2001,3.39999999999998,3
206,3.0,43.501867,-8.287932,3.3,27,5,19.0,15.3,10.6,2001,3.39999999999998,1
207,2.0,43.004175,-8.579855,2.2,27,3,19.0,15.3,10.6,2001,3.39999999999998,1
208,1.3,42.53267,-9.026022,2.55,6,1,19.0,15.3,10.6,2001,3.39999999999998,1
209,3.0,42.607448,-8.999427,2.25,4,2,18.7,12.2,10.8,2001,2.89999999999998,1
210,3.0,42.780977,-8.802512,3.55,10,1,18.7,12.2,10.8,2001,2.89999999999998,1
211,3.45,43.27734,-8.97354,1.3,26,4,18.7,12.2,10.8,2001,2.89999999999998,1
212,2.5,43.590545,-8.201348,3.55,17,3,18.7,12.2,10.8,2001,2.89999999999998,1
213,1.2,43.034389,-8.947608,1.35,6,1,18.7,12.2,10.8,2001,2.89999999999998,1
214,1.4,43.223627,-8.341676,2.0,18,4,18.7,12.2,10.8,2001,2.89999999999998,1
215,2.0,42.780977,-8.802512,2.35,16,2,18.7,12.2,10.8,2001,2.89999999999998,1
216,5.0,42.845404,-8.623962,2.15,16,2,18.7,12.2,10.8,2001,2.89999999999998,1
217,1.0,42.788592,-8.608497,1.0,26,3,19.1,9.7,10.9,2001,2.60000000000002,1
218,1.0,42.997438,-8.682929,1.5,22,2,19.1,9.7,10.9,2001,2.60000000000002,1
219,1.0,43.34019,-8.107657,1.25,32,4,19.1,9.7,10.9,2001,2.60000000000002,1
220,1.2,42.822663,-8.958553,1.0,21,2,19.1,9.7,10.9,2001,2.60000000000002,1
221,1.5,42.860227,-8.804536,2.1,28,2,19.1,9.7,10.9,2001,2.60000000000002,1
222,1.0,43.546643,-8.284681,3.3,26,4,19.1,9.7,10.9,2001,2.60000000000002,1
223,1.0,42.928181,-8.211553,1.2,11,1,19.1,9.7,10.9,2001,2.60000000000002,1
224,1.0,43.558863,-8.138671,1.55,11,1,16.9,6.4,10.9,2001,2.79999999999995,1
225,1.0,42.796929,-8.74912,1.1,4,1,16.9,6.4,10.9,2001,2.79999999999995,1
226,1.0,43.521279,-8.309654,1.3,16,3,16.9,6.4,10.9,2001,2.79999999999995,1
227,1.5,43.304051,-8.648519,2.25,14,2,16.9,6.4,10.9,2001,2.79999999999995,2
228,1.0,42.854833,-8.567981,1.0,22,2,16.9,6.4,10.9,2001,2.79999999999995,1
229,1.1,43.058246,-9.157875,2.4,11,2,16.9,6.4,10.9,2001,2.79999999999995,1
230,1.4,43.087121,-9.033492,3.0,16,3,16.9,6.4,10.9,2001,2.79999999999995,1
231,1.0,42.720584,-8.88716,2.55,16,0,16.9,6.4,10.9,2001,2.79999999999995,1
232,1.2,42.802734,-8.589146,1.1,16,4,16.7,5.6,6.6,2001,2.40000000000009,1
233,1.0,42.732381,-8.950453,1.25,26,2,16.7,5.6,6.6,2001,2.40000000000009,1
234,5.4,42.709977,-8.787082,3.45,22,5,16.5,10.8,3.8,2001,1.10000000000002,1
235,1.6,42.851886,-8.682622,2.15,24,3,16.5,10.8,3.8,2001,1.10000000000002,1
236,1.3,42.991753,-8.989438,1.15,8,1,16.5,10.8,3.8,2001,1.10000000000002,1
237,5.0,42.732381,-8.950453,3.4,4,6,18.3,12.8,9.9,2001,1.79999999999995,1
238,1.3,42.826981,-8.687411,1.2,31,4,18.3,12.8,9.9,2001,1.79999999999995,1
239,1.0,42.671189,-8.786446,1.25,10,3,18.3,12.8,9.9,2001,1.79999999999995,1
240,2.0,42.687163,-8.976258,3.1,14,2,18.3,12.8,9.9,2001,1.79999999999995,1
241,2.0,42.572775,-8.990898,2.5,11,2,18.3,12.8,9.9,2001,1.79999999999995,1
242,1.0,42.932283,-9.252776,2.0,6,2,18.2,11.1,10.2,2001,1.69999999999993,2
243,1.5,42.826981,-8.687411,1.45,29,3,18.2,11.1,10.2,2001,1.69999999999993,1
244,2.4,42.826981,-8.687411,2.15,23,3,18.2,11.1,10.2,2001,1.69999999999993,1
245,1.0,42.851886,-8.682622,1.2,12,1,18.2,11.1,10.2,2001,1.69999999999993,1
246,1.5,42.825461,-8.801318,1.5,11,1,18.2,11.1,10.2,2001,1.69999999999993,1
247,9.0,42.792961,-8.727053,2.2,15,2,18.2,11.1,10.2,2001,1.69999999999993,1
248,3.8,42.572775,-8.990898,1.3,5,1,17.5,12.2,10.1,2001,3.60000000000002,1
249,2.0,42.671189,-8.786446,3.3,6,1,18.2,11.1,10.2,2001,1.69999999999993,1
250,9.0,42.837542,-8.664463,3.1,21,3,18.2,11.1,10.2,2001,1.69999999999993,1
251,1.2,43.068876,-8.926821,3.3,10,2,17.5,12.2,10.1,2001,3.60000000000002,1
252,6.0,42.813059,-8.641404,4.15,11,2,17.5,12.2,10.1,2001,3.60000000000002,1
253,5.0,42.797346,-8.681299,2.0,17,3,17.5,12.2,10.1,2001,3.60000000000002,2
254,1.0,42.687163,-8.976258,3.25,7,1,17.5,12.2,10.1,2001,3.60000000000002,1
255,2.0,42.642678,-9.007319,2.0,5,1,17.5,12.2,10.1,2001,3.60000000000002,1
256,5.0,42.776189,-8.670577,2.45,6,1,17.5,12.2,10.1,2001,3.60000000000002,2
257,1.0,42.607448,-8.999427,0.45,5,1,17.5,12.2,10.1,2001,3.60000000000002,1
258,1.6,43.068876,-8.926821,1.3,11,2,17.5,12.2,10.1,2001,3.60000000000002,1
259,1.1,42.687163,-8.976258,2.03,17,1,17.5,12.2,10.1,2001,3.60000000000002,1
260,1.0,42.851086,-8.866091,1.3,5,0,17.5,12.2,10.1,2001,3.60000000000002,2
261,1.03,42.796929,-8.74912,1.3,19,2,17.5,12.2,10.1,2001,3.60000000000002,1
